__table,id,name,description,createdAt,updatedAt,email,password,phone,avatar,roleId,isActive,lastLoginAt,address,city,state,zipCode,country,latitude,longitude,code,capacity,managerId,sku,imageUrl,categoryId,unit,weight,dimensions,price,warehouseId,productId,quantity,reservedQuantity,minStock,maxStock,reorderPoint,lastRestockedAt,type,referenceType,referenceId,notes,performedBy,batchNumber,inventoryId,receiptDate,expiryDate,locationLabel,status,createdBy,orderNumber,customerId,shippingName,shippingPhone,shippingAddress,shippingCity,shippingState,shippingZipCode,shippingCountry,shippingLatitude,shippingLongitude,billingName,billingAddress,billingCity,billingState,billingZipCode,billingCountry,priority,subtotal,tax,shippingCost,discount,totalAmount,paymentStatus,paymentMethod,specialInstructions,confirmedAt,processedAt,shippedAt,deliveryDate,deliveredAt,cancelledAt,orderId,unitPrice,totalPrice,licensePlate,make,model,year,color,volume,fuelType,mileage,lastMaintenance,nextMaintenance,userId,licenseNumber,licenseType,licenseExpiry,emergencyContact,rating,totalDeliveries,hiredAt,driverId,vehicleId,assignedAt,tripNumber,startLocation,startLatitude,startLongitude,endLocation,endLatitude,endLongitude,totalDistance,estimatedTime,actualTime,plannedStartAt,plannedEndAt,actualStartAt,actualEndAt,totalDropPoints,completedDropPoints,tripId,dropPointType,sequence,locationName,contactName,contactPhone,plannedArrival,plannedDeparture,actualArrival,actualDeparture,recipientName,recipientSignature,deliveryPhoto,failureReason,failureNotes,speed,heading,altitude,accuracy,battery,recordedAt,subject,message,response,respondedAt,respondedBy,action,entityType,entityId,oldValue,newValue,ipAddress,userAgent
Role,cmnd79rti0000f854p3tg9jw0,SUPER_ADMIN,Full system access,2026-03-30T13:04:37.398Z,2026-03-30T13:04:37.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role,cmnd79rtj0003f854rmha29tf,DRIVER,Delivery driver,2026-03-30T13:04:37.398Z,2026-03-30T13:04:37.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role,cmnd79rtj0001f854g6vvppnb,ADMIN,Administrative access,2026-03-30T13:04:37.398Z,2026-03-30T13:04:37.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role,cmnd79rtj0002f8546ytwp8sh,WAREHOUSE_STAFF,Warehouse operations,2026-03-30T13:04:37.398Z,2026-03-30T13:04:37.398Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,cmnd79stw0005f854m86615qp,Admin User,,2026-03-30T13:04:38.708Z,2026-04-06T03:21:25.477Z,admin@logistics.com,$2b$12$W1dHTcx32yMpQgR4AgYibuHQYj5bB1Rgmdix2S0cXHDlbsXsUWd56,+1-555-0100,,cmnd79rti0000f854p3tg9jw0,true,2026-04-06T03:21:25.474Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,cmnd79su90007f85419c8xzgr,Staff Member,,2026-03-30T13:04:38.721Z,2026-03-30T14:15:52.993Z,staff@logistics.com,$2b$12$W1dHTcx32yMpQgR4AgYibuHQYj5bB1Rgmdix2S0cXHDlbsXsUWd56,+1-555-0101,,cmnd79rtj0001f854g6vvppnb,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,cmnd79sup0009f854u2mfz7xy,Nathaniel Alvarez,,2026-03-30T13:04:38.737Z,2026-04-06T03:20:54.235Z,warehouse@logistics.com,$2b$12$W1dHTcx32yMpQgR4AgYibuHQYj5bB1Rgmdix2S0cXHDlbsXsUWd56,+1-555-0102,,cmnd79rtj0002f8546ytwp8sh,true,2026-04-06T03:20:54.229Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,cmnd79sv1000bf854bj1bchiv,Jason Saldua,,2026-03-30T13:04:38.749Z,2026-04-05T11:07:32.333Z,jason.saldua@chmsu.edu.ph,$2b$12$yJqH/YrB12z8oHJgPSD0s.J058fKt5tj3j4tNOOsac2Iwzr2vmuci,09460056944,,cmnd79rtj0003f854rmha29tf,false,2026-04-01T17:16:22.405Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,cmnicdvgq0002f8golecf7ypi,BISLOT,,2026-04-03T03:26:37.707Z,2026-04-06T03:21:05.487Z,driver@logistics.com,$2b$12$hV/SSsT63dL5bjTe/Q2cV.9NqLUgubmtUK.XQR.tce2cI1I6aOJuy,09637933499,,cmnd79rtj0003f854rmha29tf,true,2026-04-06T03:21:05.485Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,cmnd79sve000cf854b07akqcy,John Smith,,2026-03-30T13:04:38.763Z,2026-04-06T03:28:04.381Z,customer@example.com,$2b$12$bo2UuG3gxe5aoigOh4JsL.1XA3VtbzF9WLVvIuSR0m.ehHnyqfE7C,9460056944,,,true,,"Burgos Street, Guimaras Circumferential Road, Bugbog, Bugbog, Sibunag, Guimaras, 5048, Philippines",Sibunag,Guimaras,5048,Philippines,10.49786202558503,122.6653343818071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
